state	year	county	precinct	cd	g2012_REG_tv	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	cd2	g2012_USH_dv2	g2012_USH_rv2	g2012_USH_tv2	g2012_USP_rv	g2012_USP_dv	g2012_USP_tv	ld	g2012_STH_dv	g2012_STH_rv	g2012_STH_tv	ld2	g2012_STH_dv2	g2012_STH_rv2	g2012_STH_tv2	ld3	g2012_STH_dv3	g2012_STH_rv3	g2012_STH_tv3	ld4	g2012_STH_dv4	g2012_STH_rv4	g2012_STH_tv4	ld5	g2012_STH_dv5	g2012_STH_rv5	g2012_STH_tv5	ld6	g2012_STH_dv6	g2012_STH_rv6	g2012_STH_tv6	ld7	g2012_STH_dv7	g2012_STH_rv7	g2012_STH_tv7	ld8	g2012_STH_dv8	g2012_STH_rv8	g2012_STH_tv8	ld9	g2012_STH_dv9	g2012_STH_rv9	g2012_STH_tv9	ld10	g2012_STH_dv10	g2012_STH_rv10	g2012_STH_tv10	ld11	g2012_STH_dv11	g2012_STH_rv11	g2012_STH_tv11	ld12	g2012_STH_dv12	g2012_STH_rv12	g2012_STH_tv12	ld13	g2012_STH_dv13	g2012_STH_rv13	g2012_STH_tv13	sd	g2012_STS_dv	g2012_STS_rv	g2012_STS_tv	sd2	g2012_STS_dv2	g2012_STS_rv2	g2012_STS_tv2	sd3	g2012_STS_dv3	g2012_STS_rv3	g2012_STS_tv3	sd4	g2012_STS_dv4	g2012_STS_rv4	g2012_STS_tv4	sd5	g2012_STS_dv5	g2012_STS_rv5	g2012_STS_tv5	sd6	g2012_STS_dv6	g2012_STS_rv6	g2012_STS_tv6	sd7	g2012_STS_dv7	g2012_STS_rv7	g2012_STS_tv7	sd8	g2012_STS_dv8	g2012_STS_rv8	g2012_STS_tv8
"SC"	2012	"Newberry"	"Little Mountain"	5	981	208	410	639					430	221	661	40	512		528																																																	18		521	526																												
"SC"	2012	"Newberry"	"Maybinton"	5	83	45	9	55					10	46	56	40	52		52																																																	18		15	15																												
"SC"	2012	"Newberry"	"Midway"	5	262	32	144	182					156	27	185	40	150		151																																																	18		166	168																												
"SC"	2012	"Newberry"	"Mt. Betherl-Garmany"	5	1123	319	261	602					283	342	629	40	524		526																																																	18		404	411																												
"SC"	2012	"Newberry"	"Newberry Ward 1"	5	412	127	85	222					98	134	237	40	203		203																																																	18		145	146																												
"SC"	2012	"Newberry"	"Newberry Ward 2"	5	1071	158	364	543					383	166	563	40	460		462																																																	18		456	461																												
"SC"	2012	"Newberry"	"Newberry Ward 3"	5	938	263	199	482					217	280	504	40	433		436																																																	18		310	315																												
"SC"	2012	"Newberry"	"Newberry Ward 4"	5	568	234	26	269					29	245	275	40	255		255																																																	18		64	67																												
"SC"	2012	"Newberry"	"Newberry Ward 5"	5	627	281	40	331					41	315	357	40	331		331																																																	18		117	122																												
"SC"	2012	"Newberry"	"Newberry Ward 6"	5	1128	244	288	554					304	258	569	40	490		491																																																	18		403	404																												
"SC"	2012	"Newberry"	"Oakland"	5	768	288	76	382					87	312	401	40	358		358																																																	18		173	177																												
"SC"	2012	"Newberry"	"Oneal"	5	1193	150	511	698					545	161	715	40	499		513																																																	18		613	616																												
"SC"	2012	"Newberry"	"Peak"	5	122	10	68	81					72	11	83	40	67		68																																																	18		74	76																												
"SC"	2012	"Newberry"	"Ponaria"	5	573	101	256	366					278	101	385	40	304		308																																																	18		320	324																												
"SC"	2012	"Newberry"	"Prosperity"	5	1809	440	527	1006					564	480	1056	40	846		855																																																	18		705	713																												
